Log Name: DT
Description: Delta-T {F13.4}
Type: Sonic
Curve UOM: US/F
Depth UOM: Meters
Source: <SeisWare.seisware_sdk_311.ID; proxy of <Swig Object of type 'SeisWare::UserKey *' at 0x000001BC29537780> >
Null Value: -999.2500
Top Depth: 1308.0492
Base Depth: 1758.0864
Depth Increment: 0.1524
Depth,Value
1362.6084,80.3269
1362.7608,80.0021
1362.9132,79.6024
1363.0656,79.6802
1363.2180,80.4286
1363.3704,80.7324
1363.5228,80.7588
1363.6752,80.7396
1363.8276,78.0381
1363.9800,75.5339
1364.1324,72.9087
1364.2848,70.9392
1364.4372,70.2745
1364.5896,65.0028
1364.7420,58.5909
1364.8944,55.8874
1365.0468,53.1682
1365.1992,53.0986
1365.3516,52.9137
1365.5040,52.2459
1365.6564,50.8486
1365.8088,50.4398
1365.9612,50.4924
1366.1136,51.2016
1366.2660,51.8729
1366.4184,52.8275
1366.5708,53.5572
1366.7232,54.0268
1366.8756,54.1957
1367.0280,53.9624
1367.1804,54.0468
1367.3328,54.2766
1367.4852,54.6644
1367.6376,54.8972
1367.7900,54.3748
1367.9424,53.2254
1368.0948,51.9424
1368.2472,51.3822
1368.3996,50.7062
1368.5520,50.8350
1368.7044,50.5061
1368.8568,50.3046
1369.0092,50.8491
1369.1616,50.4424
1369.3140,50.6923
1369.4664,50.9131
1369.6188,50.0385
1369.7712,50.7042
1369.9236,50.0610
1370.0760,49.7246
1370.2284,50.4016
1370.3808,50.2020
1370.5332,49.8252
1370.6856,50.3093
1370.8380,50.3179
1370.9904,49.9809
1371.1428,50.0138
1371.2952,50.6706
1371.4476,56.1730
1371.6000,61.3321
1371.7524,60.6191
1371.9048,61.9177
1372.0572,64.2738
1372.2096,65.6066
1372.3620,66.8068
1372.5144,67.5538
1372.6668,67.8941
1372.8192,68.3554
1372.9716,67.4931
1373.1240,67.4260
1373.2764,67.7592
1373.4288,66.9822
1373.5812,66.7043
1373.7336,66.3159
1373.8860,65.1130
1374.0384,65.0676
1374.1908,64.1059
1374.3432,63.5332
1374.4956,64.6366
1374.6480,67.3075
1374.8004,70.9698
1374.9528,73.9406
1375.1052,74.0192
1375.2576,72.6229
1375.4100,70.0930
1375.5624,66.9171
1375.7148,65.3114
1375.8672,67.4455
1376.0196,70.5383
1376.1720,71.6276
1376.3244,73.7476
1376.4768,67.8509
1376.6292,64.4676
1376.7816,64.3814
1376.9340,64.1182
1377.0864,64.0292
1377.2388,63.9720
1377.3912,63.9262
1377.5436,63.8372
1377.6960,63.8446
1377.8484,63.4867
1378.0008,63.0859
1378.1532,62.8846
1378.3056,62.4213
1378.4580,62.1248
1378.6104,61.7911
1378.7628,62.2847
1378.9152,61.7435
1379.0676,62.2426
1379.2200,62.1614
1379.3724,62.3794
1379.5248,62.5621
1379.6772,62.5625
1379.8296,64.9355
1379.9820,67.3990
1380.1344,67.4171
1380.2868,68.5421
1380.4392,72.2054
1380.5916,77.1138
1380.7440,77.5474
1380.8964,75.5514
1381.0488,71.8923
1381.2012,68.5623
1381.3536,66.1871
1381.5060,64.1923
1381.6584,63.3678
1381.8108,62.2639
1381.9632,61.7006
1382.1156,62.3546
1382.2680,63.0206
1382.4204,63.6136
1382.5728,63.8538
1382.7252,63.1960
1382.8776,62.6093
1383.0300,62.0807
1383.1824,61.8855
1383.3348,61.4387
1383.4872,61.1348
1383.6396,61.3400
1383.7920,61.7009
1383.9444,63.0222
1384.0968,64.1056
1384.2492,64.9471
1384.4016,64.5801
1384.5540,64.5427
1384.7064,63.7360
1384.8588,64.1466
1385.0112,65.9522
1385.1636,64.2667
1385.3160,67.5582
1385.4684,67.3596
1385.6208,65.1484
1385.7732,69.8376
1385.9256,64.2470
1386.0780,63.6600
1386.2304,63.9682
1386.3828,64.1929
1386.5352,67.2452
1386.6876,70.7157
1386.8400,73.8341
1386.9924,73.9718
1387.1448,71.1815
1387.2972,69.5857
1387.4496,67.2066
1387.6020,60.5297
1387.7544,59.4980
1387.9068,60.4197
1388.0592,61.9093
1388.2116,63.7902
1388.3640,65.6582
1388.5164,66.9483
1388.6688,69.7781
1388.8212,71.8909
1388.9736,73.0124
1389.1260,70.9510
1389.2784,68.5546
1389.4308,65.3854
1389.5832,65.0264
1389.7356,64.9721
1389.8880,65.2745
1390.0404,65.8308
1390.1928,65.9566
1390.3452,67.5388
1390.4976,67.5111
1390.6500,66.8638
1390.8024,67.1217
1390.9548,66.4413
1391.1072,65.6799
1391.2596,65.8742
1391.4120,67.3126
1391.5644,65.9487
1391.7168,66.1508
1391.8692,66.3149
1392.0216,66.6177
1392.1740,66.0412
1392.3264,63.7697
1392.4788,64.0150
1392.6312,66.3293
1392.7836,68.1986
1392.9360,69.8714
1393.0884,68.7164
1393.2408,68.2963
1393.3932,67.5238
1393.5456,66.3097
1393.6980,65.3379
1393.8504,65.1206
1394.0028,64.7731
1394.1552,64.6307
1394.3076,64.7854
1394.4600,65.4975
1394.6124,65.5585
1394.7648,66.1783
1394.9172,66.9615
1395.0696,66.5783
1395.2220,65.9859
1395.3744,64.7625
1395.5268,64.4146
1395.6792,64.0404
1395.8316,63.8730
1395.9840,64.0578
1396.1364,64.8756
1396.2888,65.7845
1396.4412,66.9552
1396.5936,67.2589
1396.7460,65.9428
1396.8984,64.4068
1397.0508,64.0591
1397.2032,63.5490
1397.3556,63.2057
1397.5080,62.9055
1397.6604,62.3117
1397.8128,64.3422
1397.9652,69.1481
1398.1176,71.9688
1398.2700,76.1351
1398.4224,78.5025
1398.5748,77.8300
1398.7272,76.3673
1398.8796,75.1253
1399.0320,74.5867
1399.1844,74.9623
1399.3368,74.5511
1399.4892,74.9618
1399.6416,75.6283
1399.7940,75.4214
1399.9464,76.2448
1400.0988,77.2429
1400.2512,76.6041
1400.4036,76.5015
1400.5560,76.8869
1400.7084,77.4634
1400.8608,78.1307
1401.0132,76.4361
1401.1656,72.4837
1401.3180,68.0597
1401.4704,64.4345
1401.6228,65.3834
1401.7752,65.9760
1401.9276,67.0964
1402.0800,68.1253
1402.2324,68.5501
1402.3848,67.8750
1402.5372,66.7786
1402.6896,65.8922
1402.8420,64.4314
1402.9944,62.4060
1403.1468,62.0801
1403.2992,63.0579
1403.4516,62.5628
1403.6040,62.8475
1403.7564,62.6316
1403.9088,64.1514
1404.0612,62.2010
1404.2136,62.4273
1404.3660,62.0868
1404.5184,62.3679
1404.6708,65.2488
1404.8232,68.9343
1404.9756,70.3908
1405.1280,70.7885
1405.2804,70.9134
1405.4328,70.7938
1405.5852,72.9166
1405.7376,76.7408
1405.8900,78.1083
1406.0424,74.6401
1406.1948,70.2830
1406.3472,66.0558
1406.4996,62.4992
1406.6520,62.4204
1406.8044,62.8487
1406.9568,63.7713
1407.1092,64.6545
1407.2616,65.2911
1407.4140,65.4848
1407.5664,65.5317
1407.7188,65.6992
1407.8712,65.5906
1408.0236,65.3096
1408.1760,65.2190
1408.3284,65.0872
1408.4808,64.6389
1408.6332,64.3983
1408.7856,63.7852
1408.9380,62.2521
1409.0904,62.0161
1409.2428,62.5691
1409.3952,62.4542
1409.5476,63.1123
1409.7000,64.9867
1409.8524,63.8738
1410.0048,63.7639
1410.1572,63.6074
1410.3096,64.0362
1410.4620,65.7981
1410.6144,65.5875
1410.7668,65.8078
1410.9192,68.1646
1411.0716,70.9301
1411.2240,72.1498
1411.3764,70.9502
1411.5288,67.9543
1411.6812,64.9178
1411.8336,63.5036
1411.9860,63.1906
1412.1384,63.2690
1412.2908,62.6384
1412.4432,62.3392
1412.5956,61.6680
1412.7480,61.9410
1412.9004,62.0053
1413.0528,61.8198
1413.2052,61.7401
1413.3576,61.4690
1413.5100,61.4370
1413.6624,61.4193
1413.8148,61.8728
1413.9672,62.1940
1414.1196,63.5471
1414.2720,65.9744
1414.4244,67.4783
1414.5768,70.4163
1414.7292,73.5069
1414.8816,76.1915
1415.0340,76.1176
1415.1864,74.0757
1415.3388,69.6986
1415.4912,65.7934
1415.6436,63.5586
1415.7960,62.6594
1415.9484,61.4806
1416.1008,61.7161
1416.2532,61.9506
1416.4056,61.8369
1416.5580,62.0013
1416.7104,62.7823
1416.8628,63.8842
1417.0152,67.1969
1417.1676,71.2361
1417.3200,72.2780
1417.4724,73.3129
1417.6248,73.5447
1417.7772,74.0588
1417.9296,74.8015
1418.0820,72.5522
1418.2344,68.7399
1418.3868,64.2761
1418.5392,61.4844
1418.6916,61.3706
1418.8440,61.1623
1418.9964,61.4228
1419.1488,61.3914
1419.3012,61.7192
1419.4536,62.1425
1419.6060,62.2890
1419.7584,62.6065
1419.9108,62.3495
1420.0632,61.9299
1420.2156,62.0984
1420.3680,62.5005
1420.5204,62.7894
1420.6728,63.4109
1420.8252,63.4454
1420.9776,63.8443
1421.1300,64.3433
1421.2824,64.0629
1421.4348,64.1410
1421.5872,64.2937
1421.7396,64.5060
1421.8920,64.6691
1422.0444,64.8534
1422.1968,65.3397
1422.3492,65.3132
1422.5016,65.5598
1422.6540,65.4317
1422.8064,65.2146
1422.9588,64.5484
1423.1112,64.3747
1423.2636,63.8142
1423.4160,63.4331
1423.5684,63.2016
1423.7208,63.2215
1423.8732,64.1418
1424.0256,64.2502
1424.1780,64.6179
1424.3304,64.0132
1424.4828,62.3491
1424.6352,62.9930
1424.7876,63.5044
1424.9400,64.4887
1425.0924,64.8719
1425.2448,65.3112
1425.3972,65.1752
1425.5496,64.5110
1425.7020,64.5920
1425.8544,64.2051
1426.0068,64.1883
1426.1592,64.9528
1426.3116,65.7980
1426.4640,65.9601
1426.6164,65.7324
1426.7688,64.8645
1426.9212,64.6069
1427.0736,63.7756
1427.2260,62.3689
1427.3784,61.9425
1427.5308,59.9397
1427.6832,58.8380
1427.8356,59.1567
1427.9880,59.8273
1428.1404,63.4831
1428.2928,63.3299
1428.4452,63.3981
1428.5976,63.9085
1428.7500,63.4099
1428.9024,64.8972
1429.0548,66.1925
1429.2072,64.6009
1429.3596,65.8819
1429.5120,66.8128
1429.6644,80.3736
1429.8168,89.5758
1429.9692,84.9740
1430.1216,86.0693
1430.2740,58.2607
1430.4264,49.2613
1430.5788,64.1789
1430.7312,61.5464
1430.8836,26.5623
1431.0360,60.8584
1431.1884,61.1665
1431.3408,62.5053
1431.4932,64.0804
1431.6456,65.5925
1431.7980,64.5371
1431.9504,65.7656
1432.1028,66.1244
1432.2552,64.2636
1432.4076,64.4682
1432.5600,63.4993
1432.7124,62.7362
1432.8648,63.8691
1433.0172,61.8228
1433.1696,63.1822
1433.3220,64.9649
1433.4744,66.5172
1433.6268,67.4536
1433.7792,66.6680
1433.9316,64.5681
1434.0840,63.6250
1434.2364,63.0089
1434.3888,61.6602
1434.5412,60.5570
1434.6936,59.8922
1434.8460,59.7967
1434.9984,60.2172
1435.1508,60.3411
1435.3032,60.8598
1435.4556,60.4837
1435.6080,61.2673
1435.7604,61.0663
1435.9128,61.4965
1436.0652,61.8979
1436.2176,64.4218
1436.3700,66.7920
1436.5224,68.8031
1436.6748,70.6064
1436.8272,71.1843
1436.9796,68.1072
1437.1320,65.8015
1437.2844,65.2352
1437.4368,64.1814
1437.5892,63.5716
1437.7416,61.7893
1437.8940,61.2591
